Mina Kian_present.wav
27.930 0.045 p
28.020 0.045 e
28.080 0.045 j
28.140 0.045 n
28.230 0.045 i
29.040 0.045 ə
29.160 0.045 l
29.220 0.045 a
29.400 0.045 d
29.460 0.045 z
29.520 0.045 æ
29.550 0.045 n
29.670 0.045 m
29.730 0.045 u
29.880 0.045 v
29.940 0.045 d
30.060 0.045 iː
30.150 0.045 j
30.210 0.045 u
30.360 0.045 æ
30.540 0.045 s
30.630 0.045 i
30.810 0.045 n
30.960 0.045 a
31.020 0.045 j
31.050 0.045 n
31.140 0.045 tɕʰ
31.230 0.045 i
31.350 0.045 n
31.410 0.045 a
31.470 0.045 j
31.530 0.045 n
31.560 0.045 tʰ
31.620 0.045 i
31.770 0.045 s
31.860 0.045 ɛ
31.980 0.045 v
32.040 0.045 ə
32.100 0.045 n
32.520 0.045 æ
32.550 0.045 n
32.580 0.045 d
32.640 0.045 h
32.670 0.045 æ
32.760 0.045 z
32.880 0.045 g
32.940 0.045 ɹ
33.000 0.045 o
33.120 0.045 n
33.210 0.045 ɛ
33.300 0.045 v
33.360 0.045 ɹ̩
33.510 0.045 s
33.600 0.045 ɪ
33.720 0.045 n
33.900 0.045 s
34.560 0.045 ð
34.620 0.045 ə
34.770 0.045 ɪ
34.800 0.045 n
34.890 0.045 ɹ̩
35.040 0.045 æ
35.160 0.045 k
35.220 0.045 t
35.310 0.045 ɹ̩
35.340 0.045 n
35.460 0.045 l
35.520 0.045 a
35.640 0.045 d
35.760 0.045 f
35.850 0.045 o
35.910 0.045 w
36.000 0.045 k
36.060 0.045 ə
36.120 0.045 s
36.210 0.045 ə
36.300 0.045 z
36.390 0.045 ɑ
36.450 0.045 n
36.600 0.045 ɹ
36.660 0.045 i
36.810 0.045 s
36.900 0.045 ɹ̩
37.050 0.045 tʃ
37.110 0.045 æ
37.170 0.045 n
37.200 0.045 d
37.290 0.045 s
37.380 0.045 o
37.410 0.045 l̪
37.440 0.045 w
37.500 0.045 ʐ
37.530 0.045 ə
37.650 0.045 l
37.740 0.045 i
37.830 0.045 ə
37.920 0.045 s
38.010 0.045 ɯ
38.100 0.045 s
38.160 0.045 t
38.220 0.045 ʌ
38.280 0.045 v
38.340 0.045 ɹ
38.400 0.045 ə
38.520 0.045 v
38.580 0.045 ɑ
38.700 0.045 ɾ
38.760 0.045 ə
38.850 0.045 s
39.000 0.045 ʃ
39.060 0.045 y
39.150 0.045 m
39.210 0.045 ə
39.270 0.045 n
39.360 0.045 ɹ
39.420 0.045 o
39.480 0.045 w
39.570 0.045 b̥
39.630 0.045 a
39.870 0.045 ɪ
39.900 0.045 n
39.960 0.045 tʰ
40.020 0.045 ɹ̩
40.170 0.045 æ
40.290 0.045 k
40.350 0.045 ʃ
40.440 0.045 ə
40.470 0.045 n
40.560 0.045 m
40.620 0.045 ɛ
40.740 0.045 tʰ
40.800 0.045 ə
40.860 0.045 d
40.950 0.045 z
41.010 0.045 ə
41.100 0.045 s
41.160 0.045 ə
41.250 0.045 p
41.340 0.045 ɔ
41.370 0.045 ɹ
41.430 0.045 tʰ
41.520 0.045 j
41.580 0.045 u
41.700 0.045 z
41.760 0.045 ɹ̩
41.880 0.045 z
41.970 0.045 ɪ
42.000 0.045 n
42.090 0.045 ə
42.180 0.045 v
42.240 0.045 ɹ̩
42.420 0.045 a
42.510 0.045 j
42.600 0.045 ə
42.690 0.045 tʰ
42.720 0.045 i
42.840 0.045 ə
42.900 0.045 s
43.020 0.045 tʃ
43.110 0.045 æ
43.200 0.045 l
43.260 0.045 ə
43.320 0.045 n
43.410 0.045 dʒ
43.470 0.045 ɪ
43.530 0.045 n
43.620 0.045 k
43.740 0.045 ɑ
43.830 0.045 n
43.920 0.045 t
43.980 0.045 ɛ
44.070 0.045 k
44.130 0.045 t
44.160 0.045 s
44.250 0.045 ɹ
44.310 0.045 ɪ
44.400 0.045 l
44.460 0.045 e
44.520 0.045 j
44.580 0.045 tʰ
44.610 0.045 ə
44.670 0.045 d
44.760 0.045 ə
44.880 0.045 h
44.970 0.045 ɛ
45.060 0.045 l
45.150 0.045 s
45.210 0.045 æ
45.240 0.045 n
45.390 0.045 w
45.450 0.045 ɛ
45.540 0.045 l
45.660 0.045 n
45.720 0.045 ə
45.900 0.045 s
46.560 0.045 ð
46.620 0.045 ə
46.740 0.045 l
46.800 0.045 æ
46.980 0.045 d
47.070 0.045 z
47.160 0.045 ɹ
47.220 0.045 i
47.340 0.045 s
47.430 0.045 ɹ̩
47.580 0.045 tʂʰ
47.610 0.045 h
47.640 0.045 ə
47.760 0.045 z
47.820 0.045 h
47.880 0.045 ɛ
47.970 0.045 l
48.030 0.045 θ
48.090 0.045 s
48.240 0.045 tʃ
48.330 0.045 ɪ
48.420 0.045 l
48.480 0.045 d
48.540 0.045 ɹ
48.570 0.045 ə
48.600 0.045 n
48.690 0.045 w
48.720 0.045 ɑ
48.780 0.045 z
48.900 0.045 ɑ
49.080 0.045 z
49.140 0.045 ə
49.230 0.045 z
49.290 0.045 ə
49.320 0.045 n
49.440 0.045 s
49.530 0.045 p
49.590 0.045 ɛ
49.710 0.045 t
49.770 0.045 ɹ
49.800 0.045 uː
49.860 0.045 m
49.950 0.045 d
49.980 0.045 ɪ
50.100 0.045 s
50.160 0.045 ɔ
50.220 0.045 ɹ
50.310 0.045 d
50.370 0.045 ɹ̩
50.460 0.045 æ
50.520 0.045 n
50.550 0.045 d
50.640 0.045 p
50.670 0.045 ɹ
50.730 0.045 u
50.880 0.045 v
51.000 0.045 s
51.090 0.045 o
51.150 0.045 w
51.240 0.045 ʂ
51.270 0.045 ə
51.360 0.045 l
51.450 0.045 æ
51.480 0.045 n
51.510 0.045 d
51.600 0.045 k
51.720 0.045 ɑ
51.870 0.045 g
51.930 0.045 n
51.990 0.045 ə
52.050 0.045 tʰ
52.110 0.045 ɪ
52.170 0.045 v
52.290 0.045 s
52.380 0.045 k
52.470 0.045 ɪ
52.620 0.045 l
52.770 0.045 z
53.130 0.045 s
53.190 0.045 t
53.250 0.045 ɹ
53.280 0.045 ø
53.490 0.045 p
53.580 0.045 e
53.610 0.045 j
53.700 0.045 s
53.760 0.045 ə
53.790 0.045 n
53.880 0.045 z
53.940 0.045 t
54.000 0.045 ə
54.060 0.045 b̥
54.120 0.045 i
54.270 0.045 m
54.300 0.045 o
54.360 0.045 w
54.420 0.045 ɾ
54.480 0.045 ʌ
54.570 0.045 v
54.630 0.045 e
54.690 0.045 j
54.840 0.045 d
54.900 0.045 t
54.930 0.045 ə
55.020 0.045 d
55.080 0.045 u
55.260 0.045 ɹ
55.320 0.045 i
55.440 0.045 ə
55.530 0.045 v
55.590 0.045 ɪ
55.650 0.045 l
55.740 0.045 ə
55.830 0.045 t
55.920 0.045 e
55.950 0.045 j
56.070 0.045 ʃ
56.130 0.045 ə
56.190 0.045 n
56.280 0.045 ɛ
56.370 0.045 k
56.430 0.045 s
56.490 0.045 ɹ̩
56.610 0.045 s
56.700 0.045 a
56.760 0.045 j
56.880 0.045 z
56.970 0.045 ə
57.090 0.045 z
57.510 0.045 ɒ
57.570 0.045 l̪
57.600 0.045 l
57.660 0.045 ɾ
57.720 0.045 ɹ̩
57.840 0.045 l
57.900 0.045 i
58.020 0.045 j
58.080 0.045 u
58.200 0.045 s
58.260 0.045 ɹ̩
58.380 0.045 z
58.440 0.045 t
58.500 0.045 ə
58.560 0.045 b̥
58.620 0.045 i
58.740 0.045 m
58.800 0.045 ɔ
58.830 0.045 ɹ
59.010 0.045 f
59.070 0.045 ɪ
59.160 0.045 z
59.220 0.045 ɪ
59.280 0.045 k
59.340 0.045 ə
59.370 0.045 l
59.430 0.045 i
59.550 0.045 æ
59.700 0.045 k
59.730 0.045 tʰ
59.760 0.045 t
59.820 0.045 ʌ
59.880 0.045 v
59.940 0.045 æ
59.970 0.045 n
60.120 0.045 s
60.180 0.045 o
60.240 0.045 l̪
60.330 0.045 ʂ
60.360 0.045 ə
60.420 0.045 l
60.510 0.045 i
60.630 0.045 k
60.690 0.045 ə
60.720 0.045 n
60.810 0.045 ɛ
60.900 0.045 k
60.960 0.045 t
61.050 0.045 ə
61.170 0.045 d
61.530 0.045 t͡ɕ
61.560 0.045 iː
61.620 0.045 u
61.680 0.045 n
61.740 0.045 ə
61.830 0.045 v
61.890 0.045 ɹ̩
62.040 0.045 s
62.100 0.045 ə
62.160 0.045 tʰ
62.220 0.045 i
62.340 0.045 s
62.430 0.045 t
62.490 0.045 u
62.580 0.045 d
62.610 0.045 ə
62.670 0.045 n
62.760 0.045 s
62.820 0.045 w
62.880 0.045 ɑ
62.940 0.045 z
63.090 0.045 e
63.150 0.045 j
63.270 0.045 ɾʲ
63.330 0.045 i
63.450 0.045 e
63.480 0.045 j
63.630 0.045 dʒ
63.750 0.045 t
63.810 0.045 i
63.930 0.045 tʰ
63.990 0.045 ə
64.140 0.045 s
64.230 0.045 ʌ
64.320 0.045 ɾʲ
64.380 0.045 i
64.500 0.045 m
64.560 0.045 ɔ
64.620 0.045 ɹ
64.650 0.045 ɾ
64.710 0.045 ɪ
64.830 0.045 f
64.890 0.045 ɛ
64.980 0.045 k
65.040 0.045 t
65.130 0.045 ɪ
65.190 0.045 v
65.280 0.045 l
65.340 0.045 i
65.910 0.045 æ
65.940 0.045 n
66.000 0.045 d
66.060 0.045 j
66.120 0.045 u
66.270 0.045 ð
66.330 0.045 ɹ̩
66.480 0.045 ts
66.540 0.045 ɯ
66.630 0.045 p
66.660 0.045 ɾ
66.720 0.045 æ
66.840 0.045 k
66.870 0.045 t
66.960 0.045 ə
67.020 0.045 s
67.140 0.045 k
67.230 0.045 ɑ
67.380 0.045 g
67.410 0.045 ə
67.440 0.045 n
67.530 0.045 ə
67.560 0.045 n
67.590 0.045 tʰ
67.680 0.045 v
67.740 0.045 ð
67.770 0.045 ə
67.860 0.045 h
67.950 0.045 e
67.980 0.045 j
68.070 0.045 v
68.100 0.045 j
68.130 0.045 ɪ
68.160 0.045 ɹ̩
68.250 0.045 ə
68.310 0.045 l
68.430 0.045 ts
68.490 0.045 ɛ
68.610 0.045 ɹ
68.670 0.045 ə
68.760 0.045 v
68.850 0.045 i
69.360 0.045 m
69.420 0.045 a
69.480 0.045 j
69.570 0.045 n
69.660 0.045 f
69.720 0.045 ə
69.750 0.045 l
69.840 0.045 b̥
69.900 0.045 ɹ
69.990 0.045 i
70.110 0.045 ɾ
70.170 0.045 ɪ
70.260 0.045 ŋ
70.710 0.045 æ
70.770 0.045 n
70.830 0.045 d
70.920 0.045 ʌ
71.010 0.045 ð
71.070 0.045 ɹ̩
71.220 0.045 s
71.280 0.045 ɛ
71.370 0.045 l
71.460 0.045 f
71.520 0.045 ɹ
71.550 0.045 ɛ
71.670 0.045 g
71.700 0.045 j
71.730 0.045 ə
71.820 0.045 l
71.910 0.045 i
72.030 0.045 z
72.090 0.045 æ
72.120 0.045 n
72.240 0.045 s
72.300 0.045 t
72.360 0.045 ɹ
72.390 0.045 æ
72.540 0.045 ɾ
72.600 0.045 ə
72.690 0.045 dʒ
72.780 0.045 i
72.960 0.045 z
73.620 0.045 ð
73.680 0.045 ə
73.830 0.045 s
73.890 0.045 t
73.950 0.045 ɻ̩
74.070 0.045 d
74.130 0.045 ə
74.160 0.045 n
74.250 0.045 z
74.310 0.045 ɪ
74.340 0.045 n
74.400 0.045 ð
74.460 0.045 ə
74.580 0.045 ɪ
74.640 0.045 n
74.730 0.045 ɹ̩
74.880 0.045 ɑ
75.000 0.045 k
75.060 0.045 s
75.150 0.045 æ
75.180 0.045 n
75.210 0.045 d
75.270 0.045 l
75.330 0.045 a
75.570 0.045 z
75.630 0.045 h
75.660 0.045 æ
75.810 0.045 k
75.870 0.045 ɪ
75.930 0.045 n
76.020 0.045 d
76.050 0.045 ʌ
76.140 0.045 k
76.200 0.045 t
76.260 0.045 ə
76.320 0.045 d
76.380 0.045 s
76.470 0.045 ʌ
76.530 0.045 m
76.620 0.045 ʌ
76.650 0.045 v
76.710 0.045 ð
76.740 0.045 ə
76.860 0.045 m
76.920 0.045 o
76.980 0.045 w
77.040 0.045 s
77.100 0.045 t
77.190 0.045 tʃ
77.280 0.045 æ
77.430 0.045 l
77.490 0.045 ə
77.610 0.045 dʒ
77.670 0.045 ɪ
77.820 0.045 æ
77.850 0.045 n
77.880 0.045 d
77.970 0.045 l
78.030 0.045 ɔ
78.120 0.045 ŋ
78.210 0.045 ð
78.270 0.045 ə
78.360 0.045 s
78.450 0.045 l
78.510 0.045 æ
78.660 0.045 s
78.720 0.045 t
78.780 0.045 ɪ
78.840 0.045 ŋ
78.930 0.045 j
79.020 0.045 u
79.140 0.045 s
79.200 0.045 ɹ̩
79.380 0.045 s
79.470 0.045 ɛ
79.560 0.045 ɾʲ
79.650 0.045 i
79.740 0.045 z
79.830 0.045 ɛ
79.860 0.045 n
79.890 0.045 d
80.010 0.045 e
80.070 0.045 j
80.130 0.045 ɾʲ
80.190 0.045 ɪ
80.280 0.045 k
80.370 0.045 ə
80.430 0.045 l
80.520 0.045 ɛ
80.610 0.045 k
80.700 0.045 ʃ
80.760 0.045 ə
80.790 0.045 n
80.910 0.045 z
80.970 0.045 ɪ
81.000 0.045 n
81.090 0.045 ð
81.120 0.045 ə
81.240 0.045 ɹ
81.300 0.045 i
81.420 0.045 l
81.540 0.045 w
81.600 0.045 ɹ̩
81.780 0.045 l
81.930 0.045 d
82.290 0.045 ɪ
82.350 0.045 n
82.440 0.045 k
82.500 0.045 l
82.590 0.045 u
82.650 0.045 d
82.710 0.045 ɪ
82.770 0.045 ŋ
82.860 0.045 æ
82.920 0.045 n
83.010 0.045 ð
83.070 0.045 ɛ
83.160 0.045 ɹ
83.220 0.045 ʌ
83.280 0.045 v
83.340 0.045 iː
83.490 0.045 s
83.550 0.045 ɛ
83.610 0.045 n
83.670 0.045 tʰ
83.730 0.045 ɹ̩
83.880 0.045 z
84.360 0.045 s
84.480 0.045 k
84.570 0.045 u
84.690 0.045 l
84.840 0.045 z
85.200 0.045 b̥
85.230 0.045 ɹ
85.290 0.045 i
85.410 0.045 ə
85.500 0.045 v
85.560 0.045 ɪ
85.650 0.045 l
85.740 0.045 ə
85.830 0.045 dʒ
85.920 0.045 e
85.950 0.045 j
86.040 0.045 z
86.100 0.045 ə
86.130 0.045 n
86.220 0.045 h
86.310 0.045 o
86.370 0.045 w
86.430 0.045 m
86.610 0.045 z
87.030 0.045 n
87.060 0.045 ɹ̩
87.240 0.045 tɕ
87.300 0.045 ɪ
87.360 0.045 ŋ
87.420 0.045 h
87.480 0.045 o
87.570 0.045 w
87.660 0.045 m
87.810 0.045 z
88.020 0.045 æ
88.050 0.045 n
88.110 0.045 d
88.170 0.045 h
88.260 0.045 o
88.380 0.045 w
88.470 0.045 m
88.710 0.045 z
89.430 0.045 w
89.490 0.045 i
89.580 0.045 l
89.670 0.045 ʌ
89.730 0.045 v
89.820 0.045 w
89.880 0.045 ʌ
89.940 0.045 tʰ
90.030 0.045 w
90.090 0.045 i
90.180 0.045 d
90.240 0.045 u
90.390 0.045 æ
90.420 0.045 n
90.540 0.045 h
90.600 0.045 o
90.660 0.045 w
90.750 0.045 p
90.810 0.045 ɑ
90.870 0.045 ɹ
90.900 0.045 ɾ
91.020 0.045 ɹ
91.080 0.045 o
91.140 0.045 l
91.230 0.045 b̥
91.290 0.045 ə
91.470 0.045 s
91.590 0.045 k
91.650 0.045 æ
91.680 0.045 n
91.800 0.045 k
91.890 0.045 i
92.010 0.045 p
92.100 0.045 g
92.160 0.045 ɛ
92.190 0.045 tʰ
92.250 0.045 ɪ
92.310 0.045 ŋ
92.400 0.045 b̥
92.460 0.045 ɛ
92.550 0.045 tʰ
92.640 0.045 ɹ̩
92.850 0.045 h
92.910 0.045 ɛ
92.970 0.045 l
93.030 0.045 p
93.120 0.045 ɪ
93.150 0.045 ŋ
93.270 0.045 p
93.360 0.045 i
93.450 0.045 p
93.510 0.045 ə
93.540 0.045 l
93.630 0.045 t
93.660 0.045 ə
93.750 0.045 b̥
93.810 0.045 i
93.900 0.045 æ
93.960 0.045 n
94.080 0.045 d
94.140 0.045 u
94.290 0.045 b̥
94.350 0.045 ɛ
94.470 0.045 tʰ
94.530 0.045 ɹ̩
95.400 0.045 n
95.460 0.045 a
95.550 0.045 w
95.640 0.045 l
95.700 0.045 ɛ
95.790 0.045 tʰ
95.820 0.045 ɛ
95.940 0.045 s
96.000 0.045 e
96.090 0.045 k
96.150 0.045 ə
96.180 0.045 l
96.240 0.045 w
96.300 0.045 ɔ
96.480 0.045 k
96.540 0.045 ɹ̩
96.660 0.045 a
96.690 0.045 w
96.720 0.045 n
96.780 0.045 d
96.840 0.045 ə
96.930 0.045 l
96.990 0.045 æ
97.140 0.045 d
97.230 0.045 t
97.260 0.045 ə
97.380 0.045 h
97.440 0.045 ɪ
97.530 0.045 ɹ
97.620 0.045 ə
97.680 0.045 b̥
97.740 0.045 a
97.770 0.045 w
97.830 0.045 tʰ
97.920 0.045 k
98.040 0.045 ɹ̩
98.160 0.045 ə
98.220 0.045 n
98.340 0.045 p
98.460 0.045 i
98.730 0.045 t
98.850 0.045 zʲ
98.940 0.045 i
99.090 0.045 z
99.180 0.045 s
99.300 0.045 u
99.450 0.045 ə
99.480 0.045 n
99.600 0.045 s
99.690 0.045 ɪ
99.720 0.045 n
99.750 0.045 d
99.810 0.045 ð
99.840 0.045 ɛ
99.900 0.045 ɹ
100.080 0.045 i
100.230 0.045 s
100.320 0.045 ɹ̩
100.470 0.045 s
100.560 0.045 k
100.620 0.045 ɹ
100.680 0.045 ɑ
100.860 0.045 ʐ
100.920 0.045 ə
101.190 0.045 s

Kaleen Shrestha_present.wav
0.150 0.045 ð
0.210 0.045 ɪ
0.270 0.045 s
0.360 0.045 ə
0.450 0.045 s
0.540 0.045 k
0.630 0.045 e
0.690 0.045 j
0.840 0.045 l
0.900 0.045 i
1.020 0.045 ə
1.140 0.045 s
1.230 0.045 d
1.320 0.045 æ
1.620 0.045 s
1.710 0.045 k
2.430 0.045 l
2.490 0.045 ɛ
2.520 0.045 tʰ
2.580 0.045 ɛ
2.610 0.045 s
2.640 0.045 h
2.700 0.045 i
2.790 0.045 ɹ
2.880 0.045 f
2.910 0.045 ɹ
2.970 0.045 ʌ
3.000 0.045 m
3.150 0.045 t͡ʃʲ
3.240 0.045 e
3.360 0.045 ɹ
3.480 0.045 i
3.570 0.045 n
3.600 0.045 ð
3.660 0.045 ɛ
3.720 0.045 ɹ̩
3.810 0.045 s
3.900 0.045 ɛ
3.960 0.045 l̪
4.050 0.045 f
4.140 0.045 æ
4.170 0.045 n
4.260 0.045 ʃ
4.320 0.045 i
4.440 0.045 ʃ
4.530 0.045 ɛ
4.620 0.045 ɹ
4.770 0.045 z
4.830 0.045 ɪ
4.860 0.045 n
4.980 0.045 s
5.070 0.045 a
5.130 0.045 j
5.220 0.045 d
5.280 0.045 z
5.340 0.045 ɪ
5.370 0.045 n
5.460 0.045 t
5.520 0.045 u
5.580 0.045 h
5.640 0.045 ɹ̩
5.790 0.045 l
5.850 0.045 e
5.910 0.045 j
5.970 0.045 d
6.030 0.045 ə
6.120 0.045 s
6.210 0.045 p
6.270 0.045 ɹ
6.330 0.045 a
6.510 0.045 ʐ
6.600 0.045 ə
6.780 0.045 d
7.500 0.045 ð
7.530 0.045 ə
7.650 0.045 s
7.740 0.045 w
7.800 0.045 ɑ
7.890 0.045 ɾ
7.920 0.045 ə
7.950 0.045 l
8.040 0.045 e
8.100 0.045 j
8.160 0.045 tʰ
8.190 0.045 ɪ
8.280 0.045 z
8.340 0.045 j
8.430 0.045 ɔ
8.550 0.045 ɹ
8.760 0.045 z
9.180 0.045 tɕʰ
9.240 0.045 e
9.390 0.045 l
9.480 0.045 i
9.660 0.045 n

Kaleen Shrestha.wav
0.150 0.045 h
0.270 0.045 ɪ
0.360 0.045 ɹ
0.450 0.045 ɪ
0.540 0.045 z
0.630 0.045 k
0.720 0.045 æ
0.870 0.045 ɹ
0.930 0.045 i
1.020 0.045 ə
1.050 0.045 n
1.200 0.045 s
1.260 0.045 d
1.350 0.045 ɛ
1.650 0.045 s
1.740 0.045 k
2.520 0.045 e
2.610 0.045 j
2.670 0.045 l
2.760 0.045 i
2.850 0.045 n
3.000 0.045 t
3.060 0.045 ɹ
3.120 0.045 ɛ
3.270 0.045 s
3.390 0.045 ə
3.540 0.045 ð
3.600 0.045 ə
3.720 0.045 f
3.810 0.045 ɹ̩
3.960 0.045 s
4.110 0.045 ɪ
4.200 0.045 ɹ
4.350 0.045 p
4.440 0.045 i
4.710 0.045 d
4.860 0.045 zʲ
4.950 0.045 i
5.160 0.045 s
5.220 0.045 t
5.280 0.045 u
5.370 0.045 d
5.430 0.045 ə
5.490 0.045 n
5.520 0.045 t
5.580 0.045 æ
5.640 0.045 tʰ
5.700 0.045 ð
5.730 0.045 ə
5.850 0.045 ɪ
5.910 0.045 n
5.940 0.045 tʰ
5.970 0.045 ɹ̩
6.120 0.045 æ
6.240 0.045 k
6.300 0.045 s
6.390 0.045 ə
6.450 0.045 n
6.540 0.045 l
6.600 0.045 æ
6.840 0.045 v
7.500 0.045 k
7.590 0.045 e
7.740 0.045 l
7.830 0.045 ɪ
7.920 0.045 ŋ
8.010 0.045 æ
8.100 0.045 z
8.190 0.045 ə
8.280 0.045 b̥
8.340 0.045 æ
8.550 0.045 t͡ʃʲ
8.640 0.045 ə
8.670 0.045 l
8.760 0.045 ɹ̩
8.910 0.045 z
8.970 0.045 æ
9.000 0.045 n
9.030 0.045 d
9.120 0.045 k
9.180 0.045 ə
9.210 0.045 n
9.300 0.045 p
9.360 0.045 j
9.420 0.045 u
9.510 0.045 tʰ
9.570 0.045 ɹ̩
9.720 0.045 s
9.810 0.045 a
9.870 0.045 j
9.960 0.045 ə
10.020 0.045 n
10.110 0.045 s
10.170 0.045 æ
10.200 0.045 n
10.230 0.045 d
10.320 0.045 m
10.380 0.045 æ
10.560 0.045 s
10.620 0.045 t
10.680 0.045 ɹ̩
10.800 0.045 z
10.860 0.045 æ
10.890 0.045 n
11.040 0.045 æ
11.190 0.045 t͡ʃʲ
11.250 0.045 ɹ̩
11.310 0.045 ə
11.370 0.045 l
11.520 0.045 æ
11.610 0.045 ŋ
11.640 0.045 g
11.700 0.045 l
11.760 0.045 ə
11.820 0.045 dʒ
11.910 0.045 p
11.970 0.045 ɹ
12.030 0.045 ɑ
12.210 0.045 s
12.300 0.045 ə
12.390 0.045 s
12.480 0.045 i
12.540 0.045 n
12.630 0.045 f
12.660 0.045 ɹ
12.690 0.045 ʌ
12.720 0.045 m
12.810 0.045 ð
12.840 0.045 ə
12.930 0.045 j
12.990 0.045 u
13.080 0.045 n
13.170 0.045 ə
13.230 0.045 v
13.320 0.045 ɹ̩
13.440 0.045 s
13.530 0.045 ə
13.590 0.045 tʰ
13.650 0.045 i
13.740 0.045 ʌ
13.800 0.045 v
13.890 0.045 k
13.980 0.045 æ
14.100 0.045 l
14.160 0.045 ə
14.280 0.045 f
14.340 0.045 ɔ
14.400 0.045 ɹ
14.490 0.045 ɲ
14.520 0.045 j
14.610 0.045 ə
15.120 0.045 s
15.180 0.045 æ
15.300 0.045 n
15.330 0.045 d
15.390 0.045 ɪ
15.510 0.045 k
15.570 0.045 ɹ
15.630 0.045 u
15.930 0.045 z
16.650 0.045 h
16.710 0.045 ɹ̩
16.890 0.045 ɹ
16.950 0.045 i
17.070 0.045 s
17.160 0.045 ɹ̩
17.310 0.045 t͡ʃʲ
17.400 0.045 ɹ
17.460 0.045 o
17.520 0.045 w
17.610 0.045 p
17.670 0.045 ə
17.730 0.045 s
17.820 0.045 ə
17.880 0.045 z
17.970 0.045 ɑ
18.120 0.045 m
18.180 0.045 ɑ
18.330 0.045 ɾ
18.360 0.045 ə
18.390 0.045 l
18.510 0.045 ɪ
18.570 0.045 ŋ
18.660 0.045 k
18.780 0.045 ɑ
18.870 0.045 n
18.960 0.045 s
19.020 0.045 l
19.050 0.045 ə
19.110 0.045 k
19.140 0.045 tʰ
19.260 0.045 ɹ
19.350 0.045 ɛ
19.440 0.045 z
19.530 0.045 ə
19.590 0.045 l
19.680 0.045 u
19.800 0.045 ʃ
19.890 0.045 ə
19.920 0.045 n
20.730 0.045 ʃ
20.790 0.045 i
20.910 0.045 ɪ
21.000 0.045 z
21.060 0.045 ɪ
21.090 0.045 n
21.180 0.045 tʂ
21.240 0.045 ə
21.330 0.045 s
21.420 0.045 ə
21.480 0.045 d
21.540 0.045 æ
21.570 0.045 n
21.660 0.045 ɛ
21.720 0.045 k
21.810 0.045 s
21.870 0.045 p
21.900 0.045 l
21.960 0.045 o
22.020 0.045 j
22.110 0.045 ɪ
22.170 0.045 ŋ
22.260 0.045 h
22.320 0.045 a
22.410 0.045 w
22.560 0.045 o
22.650 0.045 w
22.710 0.045 b̥
22.770 0.045 ɑ
22.950 0.045 s
23.040 0.045 k
23.100 0.045 æ
23.130 0.045 n
23.220 0.045 h
23.280 0.045 ɛ
23.340 0.045 l
23.400 0.045 d
23.520 0.045 tʃ
23.610 0.045 ɪ
23.670 0.045 l
23.730 0.045 d
23.790 0.045 ɹ
23.820 0.045 ə
23.850 0.045 n
23.940 0.045 w
24.000 0.045 ɹ̩
24.030 0.045 ɹ
24.090 0.045 ɪ
24.120 0.045 n
24.180 0.045 d
24.240 0.045 ə
24.330 0.045 d
24.390 0.045 iː
24.510 0.045 o
24.540 0.045 l
24.750 0.045 k
24.870 0.045 ɑ
24.990 0.045 n
25.080 0.045 f
25.140 0.045 l
25.260 0.045 ə
25.350 0.045 k
25.410 0.045 t
25.770 0.045 w
25.830 0.045 ɪ
25.920 0.045 tʃ
25.980 0.045 ɪ
26.070 0.045 z
26.130 0.045 ə
26.250 0.045 f
26.310 0.045 ʌ
26.370 0.045 n
26.430 0.045 d
26.490 0.045 ə
26.550 0.045 m
26.610 0.045 ə
26.640 0.045 n
26.730 0.045 ts
26.790 0.045 ə
26.850 0.045 l
26.940 0.045 s
27.000 0.045 o
27.060 0.045 w
27.150 0.045 ʐ
27.210 0.045 ə
27.240 0.045 l
27.360 0.045 s
27.420 0.045 k̟ʲ
27.510 0.045 iː
27.690 0.045 l

Nathan Dennler_present.wav
0.150 0.045 w
0.210 0.045 ɛ
0.270 0.045 l
0.360 0.045 k
0.420 0.045 ʌ
0.480 0.045 m
0.570 0.045 d͡ʒ
0.630 0.045 ɪ
0.690 0.045 n
0.780 0.045 e
0.840 0.045 j
0.930 0.045 z
0.990 0.045 ə
1.020 0.045 n
1.080 0.045 ɛ
1.110 0.045 z
1.200 0.045 k
1.320 0.045 ɔ
1.380 0.045 ɹ
1.470 0.045 lʲ
1.530 0.045 ɹ̩
2.340 0.045 l
2.370 0.045 ɛ
2.430 0.045 tʰ
2.520 0.045 s
2.610 0.045 ɪ
2.670 0.045 ɹ
2.790 0.045 f
2.850 0.045 ɹ
2.880 0.045 ʌ
2.910 0.045 m
3.000 0.045 n
3.060 0.045 i
3.210 0.045 z
3.270 0.045 ɪ
3.300 0.045 n
3.360 0.045 h
3.390 0.045 ɪ
3.450 0.045 m
3.570 0.045 s
3.660 0.045 ɛ
3.720 0.045 l
3.810 0.045 f
3.870 0.045 æ
3.960 0.045 z
4.020 0.045 h
4.050 0.045 i
4.200 0.045 ʃ
4.290 0.045 ɛ
4.350 0.045 ɹ
4.500 0.045 z
4.560 0.045 ɪ
4.620 0.045 n
4.710 0.045 s
4.800 0.045 a
4.860 0.045 j
4.980 0.045 tʰ
5.070 0.045 ɪ
5.100 0.045 n
5.190 0.045 tʂ
5.250 0.045 ə
5.310 0.045 h
5.370 0.045 ɪ
5.460 0.045 z
5.580 0.045 l
5.640 0.045 e
5.670 0.045 j
5.760 0.045 d
